"artist_name"	"track_name"
"grentperez"	"My Heart It Beats for You"
"blink-182"	"Hey I'm Sorry"
"blink-182"	"Rabbit Hole"
"blink-182"	"Kings of the Weekend"
"Bondan Prakoso, Fade2Black"	"Kita Selamanya"
"Justin Bieber"	"Mistletoe"
"Justin Bieber"	"Somebody To Love"
"Justin Bieber"	"Runaway Love"
"Justin Bieber"	"Never Let You Go"
"Justin Bieber, Sean Kingston"	"Eenie Meenie"
"Justin Bieber"	"Up"
"Justin Bieber"	"One Time"
"Justin Bieber"	"Bigger"
"Justin Bieber"	"One Less Lonely Girl"
"Justin Bieber"	"Love Me"
"Adele"	"Send My Love (To Your New Lover)"
"Bruno Mars, Anderson .Paak, Silk Sonic"	"Leave The Door Open"
"blackbear"	"hot girl bummer"
"Demi Lovato"	"Fire Starter"
"Demi Lovato"	"Something That We're Not"
"Demi Lovato, Cher Lloyd"	"Really Don't Care"
"Demi Lovato"	"Without The Love"
"Demi Lovato"	"Neon Lights"
"Taylor Swift"	"You Belong With Me"
"Taylor Swift"	"The Story Of Us"
"Taylor Swift"	"New Romantics"
"Taylor Swift"	"How You Get The Girl"
"Taylor Swift"	"I Wish You Would"
"Taylor Swift"	"Blank Space"
"Taylor Swift"	"Welcome To New York"
"Maroon 5"	"Runaway"
"Maroon 5"	"Get Back In My Life"
"Maroon 5"	"Hands All Over"
"Maroon 5"	"I Can't Lie"
"Maroon 5"	"Don't Know Nothing"
"Maroon 5"	"Stutter"
"Maroon 5"	"Give A Little More"
"Maroon 5"	"Misery"
"Maroon 5"	"Sex And Candy"
"Maroon 5"	"Feelings"
"Maroon 5"	"New Love"
"Maroon 5"	"Sugar"
"Maroon 5"	"Maps"
"Maroon 5"	"Wasted Years"
"Maroon 5"	"Wipe Your Eyes"
"Maroon 5"	"Doin’ Dirt"
"Maroon 5"	"Tickets"
"Maroon 5"	"Ladykiller"
"Maroon 5"	"The Man Who Never Lied"
"Maroon 5"	"Lucky Strike"
"Maroon 5, Wiz Khalifa"	"Payphone"
"Maroon 5"	"One More Night"
"Maroon 5"	"Through With You"
"Maroon 5"	"Sunday Morning"
"Maroon 5"	"Tangled"
"Maroon 5"	"Harder To Breathe"
"Maroon 5"	"This Love"
"Diskoria, Dian Sastrowardoyo"	"Serenata Jiwa Lara"
"Stars and Rabbit"	"Catch Me"
"Stars and Rabbit"	"I'll Go Along"
"Paramore"	"Idle Worship"
"Paramore"	"Caught in the Middle"
"Paramore"	"Pool"
"Paramore"	"Forgiveness"
"Paramore"	"Told You So"
"Paramore"	"Rose-Colored Boy"
"Paramore"	"Hard Times"
"Cody Simpson"	"Driftwood"
"Cody Simpson"	"Free"
"Cody Simpson, Donavon Frankenreiter"	"It Don't Matter (feat. Donavon Frankenreiter)"
"Cody Simpson"	"ABC"
"Cody Simpson, G. Love & Special Sauce"	"Love Yourself (feat. G Love)"
"ONE OK ROCK"	"Bedroom Warfare"
"Melanie Martinez"	"Teddy Bear"
"Melanie Martinez"	"Alphabet Boy"
"Melanie Martinez"	"Sippy Cup"
"Melanie Martinez"	"Dollhouse"
"5 Seconds of Summer"	"Out Of My Limit"
"5 Seconds of Summer"	"English Love Affair"
"5 Seconds of Summer"	"Lost Boy"
"5 Seconds of Summer"	"Castaway"
"5 Seconds of Summer"	"Catch Fire"
"5 Seconds of Summer"	"Permanent Vacation"
"5 Seconds of Summer"	"Hey Everybody!"
"5 Seconds of Summer"	"She's Kinda Hot"
"5 Seconds of Summer"	"Don't Stop - Acoustic"
"5 Seconds of Summer"	"English Love Affair"
"5 Seconds of Summer"	"Don't Stop"
"GD&TOP"	"Knock Out"
"GD&TOP"	"Don't Leave"
"GD&TOP, Park Bom"	"Oh Yeah (Feat. Park Bom)"
"GD&TOP"	"Turn It Up"
"GD&TOP"	"High High"
"Twenty One Pilots"	"Stressed Out"
"Ardhito Pramono"	"superstar"
"Ardhito Pramono"	"say hello"
"Halsey"	"Hold Me Down"
"Halsey"	"Bad At Love"
"Panic! At The Disco"	"The Good, the Bad and the Dirty"
"Panic! At The Disco"	"Emperor's New Clothes"
"Panic! At The Disco"	"Victorious"
"2NE1"	"Hate You"
"2NE1"	"Ugly"
"2NE1"	"Ah-Yah-Yah (<U+C0AC><U+B791><U+C740> <U+C544><U+C57C><U+C57C>)"
"2NE1"	"It Hurts (<U+C544><U+D30C>) [Slow]"
"2NE1"	"HAPPY"
"2NE1"	"GOTTA BE YOU"
"Avril Lavigne"	"You Ain't Seen Nothin' Yet"
"Avril Lavigne"	"17"
"Avril Lavigne"	"Stop Standing There"
"Avril Lavigne"	"Smile"
"KYUHYUN"	"<U+AE4A><U+C740> <U+BC24><U+C744> <U+B0A0><U+C544><U+C11C> (Flying, deep in the night)"
"Owl City"	"Bird With A Broken Wing"
"Owl City, Hanson"	"Unbelievable"
"Owl City, Sarah Russell"	"Thunderstruck"
"Reality Club"	"SSR"
"Reality Club"	"Telenovia"
"Reality Club"	"Never Get Better"
"Hyolyn"	"One way love"
"Hyolyn"	"Red Lipstick (feat.ZICO of Block B)"
"Hyolyn"	"O.M.G (feat.Lil Boi of Geeks)"
"Shawn Mendes"	"There's Nothing Holdin' Me Back"
"Ed Sheeran"	"Shape of You"
