"artist_name"	"track_name"
"Jeff Bernat, Geologic Of The Blue Scholars"	"Call You Mine (feat. Geologic Of The Blue Scholars)"
"grentperez"	"(Only) About Love - Demo"
"grentperez"	"Cherry Wine"
"blink-182"	"Can't Get You More Pregnant"
"blink-182"	"Bored To Death (Acoustic)"
"blink-182"	"6/8"
"blink-182"	"Los Angeles"
"blink-182"	"Cynical"
"Justin Bieber"	"Born To Be Somebody"
"Justin Bieber"	"Common Denominator - iTunes Bonus"
"Justin Bieber"	"Stuck In The Moment"
"Justin Bieber"	"U Smile"
"Justin Bieber"	"That Should Be Me"
"Justin Bieber"	"Down To Earth"
"Justin Bieber, Usher"	"First Dance"
"Adele"	"River Lea"
"Adele"	"Water Under the Bridge"
"Adele"	"I Miss You"
"Adele"	"Hello"
"Demi Lovato"	"Made In The USA"
"Taylor Swift"	"Love Story"
"Taylor Swift"	"Clean"
"Taylor Swift"	"All You Had To Do Was Stay"
"Taylor Swift"	"Out Of The Woods"
"Taylor Swift"	"Style"
"Maroon 5, Lady A"	"Out Of Goodbyes"
"Maroon 5"	"How"
"Maroon 5"	"Never Gonna Leave This Bed"
"Adam Levine"	"Lost Stars"
"Maroon 5"	"This Summer"
"Maroon 5"	"Coming Back For You"
"Maroon 5"	"In Your Pocket"
"Maroon 5"	"Leaving California"
"Maroon 5"	"Unkiss Me"
"Maroon 5"	"It Was Always You"
"Maroon 5"	"Fortune Teller"
"Maroon 5"	"Love Somebody"
"Maroon 5"	"Daylight"
"Maroon 5"	"Not Coming Home"
"Maroon 5"	"Secret"
"Maroon 5"	"Must Get Out"
"Maroon 5"	"The Sun"
"Maroon 5"	"She Will Be Loved - Radio Mix"
"Payung Teduh"	"Angin Pujaan Hujan"
"Payung Teduh"	"Menuju Senja"
"Stars and Rabbit"	"Rabbit Run"
"Stars and Rabbit"	"Man Upon The Hill"
"Stars and Rabbit"	"Old Man Finger"
"Paramore"	"Fake Happy"
"Cody Simpson"	"I'm Your Friend"
"Cody Simpson"	"Thotful"
"Cody Simpson"	"Flower"
"Cody Simpson"	"New Problems"
"Cody Simpson"	"Livin' Easy"
"Cody Simpson"	"Still Smiling"
"Cody Simpson"	"Happy Lil' Hippie"
"ONE OK ROCK"	"Bon Voyage"
"ONE OK ROCK"	"One Way Ticket"
"ONE OK ROCK"	"Listen"
"ONE OK ROCK"	"I Was King"
"ONE OK ROCK"	"Taking Off"
"Melanie Martinez"	"Play Date"
"Melanie Martinez"	"Mad Hatter"
"Melanie Martinez"	"Milk and Cookies"
"Melanie Martinez"	"Tag, You're It"
"Melanie Martinez"	"Pity Party"
"Melanie Martinez"	"Carousel"
"Melanie Martinez"	"Cry Baby"
"5 Seconds of Summer"	"San Francisco"
"5 Seconds of Summer"	"Invisible"
"5 Seconds of Summer"	"Fly Away"
"5 Seconds of Summer"	"Broken Home"
"5 Seconds of Summer"	"Waste The Night"
"5 Seconds of Summer"	"Amnesia"
"GD&TOP"	"Baby Good Night"
"Twenty One Pilots"	"Ride"
"Twenty One Pilots"	"Heathens"
"Ardhito Pramono, Joan Elizabeth"	"Perlahan Menghilang"
"Ardhito Pramono"	"Bulb"
"Ardhito Pramono"	"Trash Talkin'"
"Halsey"	"I Walk The Line"
"Halsey"	"Young God"
"Halsey"	"Control"
"Halsey"	"Gasoline"
"Halsey"	"Coming Down"
"Halsey"	"Strange Love"
"Halsey"	"Colors"
"Halsey"	"Ghost"
"Halsey"	"Roman Holiday"
"Halsey"	"Hurricane"
"Halsey"	"Drive"
"Halsey"	"Castle"
"The Chainsmokers, Halsey"	"Closer"
"Halsey"	"Devil In Me"
"Halsey"	"Angel On Fire"
"Halsey, Lauren Jauregui"	"Strangers"
"Halsey"	"Don’t Play"
"Halsey"	"Walls Could Talk"
"Halsey"	"Now Or Never"
"Halsey"	"Alone"
"Halsey"	"Heaven In Hiding"
"Halsey"	"Eyes Closed"
"Halsey"	"100 Letters"
"Panic! At The Disco"	"House of Memories"
"Panic! At The Disco"	"Golden Days"
"Panic! At The Disco"	"Hallelujah"
"2NE1"	"Lonely"
"2NE1"	"COME BACK HOME - UNPLUGGED VER."
"2NE1"	"BABY I MISS YOU"
"Avril Lavigne"	"Give You What You Like"
"Avril Lavigne"	"4 Real"
"Avril Lavigne"	"Everybody Hurts"
"Avril Lavigne"	"I Love You"
"Avril Lavigne"	"Complicated"
"Andy Black"	"Drown Me Out"
"Andy Black"	"Beautiful Pain"
"Andy Black"	"Ribcage"
"Owl City"	"This Isn’t The End"
"Owl City, Britt Nicole"	"You’re Not Alone"
"Owl City"	"Can't Live Without You"
"Owl City, Jake Owen"	"Back Home"
"Owl City"	"My Everything"
"Owl City, Aloe Blacc"	"Verge"
"Owl City"	"I Found Love"
"Reality Club"	"Okay"
"Reality Club"	"Cursive Curses"
"Reality Club"	"Caught in a Trap"
"Reality Club"	"2112"
"Reality Club"	"Elastic Hearts"
"Reality Club"	"Is It The Answer"
"Hozier"	"Take Me To Church"
"Diskoria, Laleilmanino, Eva Celia"	"C.H.R.I.S.Y.E."
"Zedd, Matthew Koma"	"Spectrum"
"Hyolyn"	"Massage (feat.Dok2)"
"Hyolyn"	"Closer"
"Hyolyn"	"Falling"
"Hyolyn"	"Tonight"
"The Chainsmokers, Coldplay"	"Something Just Like This"
"Avril Lavigne"	"I Will Be"
