"artist_name"	"track_name"
"Two Steps from Hell, Thomas Bergersen"	"Miracles"
"Two Steps from Hell, Thomas Bergersen"	"Eria"
"Two Steps from Hell, Thomas Bergersen"	"Compass"
"Two Steps from Hell, Thomas Bergersen"	"Sun Gazer"
"Two Steps from Hell, Thomas Bergersen"	"Eyes Closing"
"Two Steps from Hell, Thomas Bergersen"	"Fountain of Life"
"Two Steps from Hell, Thomas Bergersen, Merethe Soltvedt"	"Stay"
"Two Steps from Hell, Thomas Bergersen"	"Men of Honor"
"Two Steps from Hell, Thomas Bergersen, Merethe Soltvedt"	"My Freedom"
"Two Steps from Hell, Thomas Bergersen"	"Perfect Love"
"Two Steps from Hell, Thomas Bergersen"	"Lux Aeterna"
"Two Steps from Hell, Thomas Bergersen"	"I Love You Forever"
"Two Steps from Hell, Thomas Bergersen"	"Color the Sky"
"Two Steps from Hell, Thomas Bergersen"	"Forever in My Dreams"
"Two Steps from Hell, Thomas Bergersen"	"Breath of Cold Air"
"Two Steps from Hell, Thomas Bergersen"	"Heart"
"Two Steps from Hell, Thomas Bergersen"	"Wind Queen"
"Two Steps from Hell, Thomas Bergersen"	"Northern Pastures"
"Two Steps from Hell, Thomas Bergersen"	"Science"
"Two Steps from Hell, Thomas Bergersen"	"Lost in Las Vegas"
"Payung Teduh"	"Amy"
"Payung Teduh"	"Untuk Perempuan Yang Sedang Di Pelukan"
"Stars and Rabbit"	"Worth It"
"Ardhito Pramono"	"Di Senayan"
