"artist_name"	"track_name"
"grentperez"	"Wait for You - Demo"
"grentperez"	"In My Heart - Demo"
"grentperez"	"Dreams - Demo"
"Bondan Prakoso, Fade2Black"	"Not With Me"
"Adele"	"Someone Like You"
"Bruno Mars"	"When I Was Your Man"
"Adele"	"All I Ask"
"Adele"	"Million Years Ago"
"Adele"	"Love In The Dark"
"Adele"	"Remedy"
"Demi Lovato"	"Warrior"
"Demi Lovato"	"Shouldn't Come Back"
"Demi Lovato"	"In Case"
"Taylor Swift"	"White Horse"
"Taylor Swift"	"You Are In Love"
"Taylor Swift"	"This Love"
"Rihanna, Kanye West, Paul McCartney"	"FourFiveSeconds"
"Maroon 5, Gwen Stefani"	"My Heart Is Open"
"Maroon 5"	"Sad"
"Payung Teduh"	"Kita Adalah Sisa Sisa Keikhlasan Yang Tak Diikhlaskan"
"Payung Teduh"	"Tidurlah"
"Payung Teduh"	"Kucari Kamu"
"Payung Teduh"	"Malam"
"Payung Teduh"	"Berdua Saja"
"Payung Teduh"	"Cerita Tentang Gunung Dan Laut"
"Payung Teduh"	"Angin Pujaan Hujan"
"Payung Teduh"	"Resah"
"Payung Teduh"	"Biarkan"
"Payung Teduh"	"Resah"
"Payung Teduh"	"Di Ujung Malam"
"Payung Teduh"	"Rahasia"
"Payung Teduh"	"Untuk Perempuan Yang Sedang Di Pelukan"
"Payung Teduh"	"Berdua Saja"
"Stars and Rabbit"	"Cry Little Heart"
"Stars and Rabbit"	"Summerfall"
"Paramore"	"Tell Me How"
"Paramore"	"26"
"Cody Simpson"	"Wilderness"
"Cody Simpson"	"Palm of Your Hand"
"ONE OK ROCK"	"Hard to Love"
"Melanie Martinez"	"Training Wheels"
"Ardhito Pramono"	"What Do You Feel About Me"
"Ardhito Pramono"	"I Placed My Heart"
"Ardhito Pramono"	"The Sun"
"Ardhito Pramono"	"The Message"
"Ardhito Pramono"	"Tjumbuan Kasih Rimba Lara"
"Ardhito Pramono"	"I Can't Stop Loving You"
"Ardhito Pramono"	"fake optics"
"Ardhito Pramono"	"Happy"
"Ardhito Pramono"	"Here We Go Again / Fanboi"
"Ardhito Pramono"	"Plaza Avenue"
"Ardhito Pramono"	"925"
"Ardhito Pramono"	"fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack)"
"Ardhito Pramono"	"cigarettes of ours"
"Ardhito Pramono"	"Sudah - Story of Kale - Original Motion Picture Soundtrack"
"Ardhito Pramono, Aurélie"	"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack"
"Marshmello, Halsey"	"Be Kind (with Halsey) [Stripped]"
"Halsey, Cashmere Cat"	"Hopeless"
"Halsey"	"Good Mourning"
"Halsey"	"Sorry"
"Panic! At The Disco"	"Impossible Year"
"2NE1"	"Missing You"
"2NE1"	"GOOD TO YOU"
"Avril Lavigne"	"Falling Fast"
"Reality Club"	"A Sorrowful Reunion"
"Reality Club"	"Alexandra"
"Coffeeboy"	"<U+C774><U+AC8C> <U+C0AC><U+B791><U+C77C><U+AE4C> Is This Love"
"Ardhito Pramono"	"bitterlove"
"Acha Septriasa, Irwansyah"	"My Heart"
