"artist_name"	"track_name"
"grentperez"	"Confusing Girl - Demo"
"grentperez"	"Confusing Girl"
"blink-182"	"Bottom Of The Ocean"
"blink-182"	"Long Lost Feeling"
"blink-182"	"Wildfire"
"blink-182"	"Last Train Home"
"blink-182"	"Don't Mean Anything"
"blink-182"	"Good Old Days"
"blink-182"	"Misery"
"blink-182"	"Parking Lot"
"blink-182"	"The Only Thing That Matters"
"blink-182"	"Brohemian Rhapsody"
"blink-182"	"California"
"blink-182"	"San Diego"
"blink-182"	"Left Alone"
"blink-182"	"Teenage Satellites"
"blink-182"	"Home Is Such A Lonely Place"
"blink-182"	"No Future"
"blink-182"	"Built This Pool"
"blink-182"	"Sober"
"blink-182"	"She's Out Of Her Mind"
"blink-182"	"Bored To Death"
"Justin Bieber, Jessica Jarrell"	"Overboard"
"Justin Bieber"	"Favorite Girl"
"Adele"	"Sweetest Devotion"
"Adele"	"When We Were Young"
"Bruno Mars"	"It Will Rain"
"Bruno Mars"	"Talking to the Moon"
"Demi Lovato"	"Never Been Hurt"
"Demi Lovato"	"Nightingale"
"Demi Lovato"	"Two Pieces"
"Demi Lovato"	"Heart Attack"
"Taylor Swift"	"Back To December"
"Taylor Swift"	"Wonderland"
"Taylor Swift"	"I Know Places"
"Taylor Swift"	"Wildest Dreams"
"Taylor Swift"	"Bad Blood"
"Maroon 5"	"Just A Feeling"
"Maroon 5"	"Shoot Love"
"Maroon 5"	"Animals"
"Maroon 5"	"Beautiful Goodbye"
"Maroon 5"	"Shiver"
"Efek Rumah Kaca"	"Jalang"
"Stars and Rabbit"	"Like It Here"
"Stars and Rabbit"	"The House"
"Stars and Rabbit"	"You Were The Universe"
"Paramore"	"Grudges"
"ONE OK ROCK, 5 Seconds of Summer"	"Take What You Want (feat. 5 Seconds of Summer)"
"ONE OK ROCK"	"Start Again"
"ONE OK ROCK"	"American Girls"
"ONE OK ROCK, Alex Gaskarth"	"Jaded (feat. Alex Gaskarth)"
"ONE OK ROCK"	"We Are"
"ONE OK ROCK"	"Bombs Away"
"Melanie Martinez"	"Cake"
"Melanie Martinez"	"Mrs. Potato Head"
"Melanie Martinez"	"Pacify Her"
"Melanie Martinez"	"Soap"
"5 Seconds of Summer"	"Close As Strangers"
"5 Seconds of Summer"	"Independence Day"
"5 Seconds of Summer"	"Tomorrow Never Dies"
"5 Seconds of Summer"	"Greenlight"
"5 Seconds of Summer"	"Voodoo Doll"
"5 Seconds of Summer"	"Never Be"
"5 Seconds of Summer"	"Mrs All American"
"5 Seconds of Summer"	"Outer Space / Carry On"
"5 Seconds of Summer"	"Airplanes"
"5 Seconds of Summer"	"The Girl Who Cried Wolf"
"5 Seconds of Summer"	"Vapor"
"5 Seconds of Summer"	"Safety Pin"
"5 Seconds of Summer"	"Jet Black Heart"
"5 Seconds of Summer"	"Money"
"5 Seconds of Summer"	"Voodoo Doll"
"5 Seconds of Summer"	"Never Be"
"5 Seconds of Summer"	"Social Casualty"
"5 Seconds of Summer"	"Heartbreak Girl"
"5 Seconds of Summer"	"Long Way Home"
"5 Seconds of Summer"	"End Up Here"
"5 Seconds of Summer"	"Beside You"
"5 Seconds of Summer"	"18"
"5 Seconds of Summer"	"Everything I Didn't Say"
"5 Seconds of Summer"	"Kiss Me Kiss Me"
"5 Seconds of Summer"	"Good Girls"
"5 Seconds of Summer"	"She Looks So Perfect"
"Lindsey Stirling, Lzzy Hale"	"Shatter Me"
"Halsey"	"Haunting"
"Halsey"	"New Americana"
"Halsey, Quavo"	"Lie"
"Panic! At The Disco"	"LA Devotee"
"Panic! At The Disco"	"Crazy = Genius"
"Panic! At The Disco"	"Death of a Bachelor"
"Panic! At The Disco"	"Don't Threaten Me with a Good Time"
"2NE1"	"IF I WERE YOU"
"2NE1"	"COME BACK HOME"
"Avril Lavigne"	"We Are Warriors"
"Avril Lavigne"	"Hush Hush"
"Avril Lavigne"	"Hello Heartache"
"Avril Lavigne"	"Rock N Roll"
"Avril Lavigne, Chad Kroeger"	"Let Me Go (feat. Chad Kroeger)"
"Avril Lavigne, Marilyn Manson"	"Bad Girl (feat. Marilyn Manson)"
"Avril Lavigne"	"Remember When"
"Avril Lavigne"	"Darlin"
"Avril Lavigne"	"Not Enough"
"Avril Lavigne"	"Wish You Were Here"
"Avril Lavigne"	"Push"
"Avril Lavigne"	"Keep Holding On"
"Avril Lavigne"	"Innocence"
"Avril Lavigne"	"Hot"
"Avril Lavigne"	"When You're Gone"
"Avril Lavigne"	"I'm with You"
"Avril Lavigne"	"Sk8er Boi"
"Avril Lavigne"	"Losing Grip"
"Andy Black"	"The Void"
"Andy Black"	"Broken Pieces"
"Andy Black"	"Louder Than Your Love"
"Andy Black"	"Paint It Black"
"Andy Black"	"Break Your Halo"
"Andy Black"	"Put The Gun Down"
"Andy Black"	"Love Was Made To Break"
"Andy Black, Matt Skiba"	"Stay Alive"
"Andy Black"	"We Don't Have To Dance"
"Andy Black"	"Homecoming King"
"Owl City"	"Fireflies"
"Reality Club"	"Fatal Attraction"
"Reality Club"	"All Along All Things Were Wrong"
"Hyolyn"	"Lonely"
"Hyolyn"	"Don't love me"
"Hyolyn"	"Stalker (feat.Mad Clown)"
"Bruno Mars"	"Versace on the Floor"
"Two Steps from Hell, Thomas Bergersen, Merethe Soltvedt"	"Compass (Bonus Track)"
"Avril Lavigne"	"Fall To Pieces"
